release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
1-Mar, Cheat , United Kingdom , 03/01/2023 , Quiz Show ,5.5,,,season 1 
28-Feb, Too Hot to Handle: Germany , Germany , 02/28/2023 , Reality-Show ,4.4,,1337,season 1 
24-Feb, Oddballs , United States , 10/07/2022 , Animation ,6.4,,154,season 2 
24-Feb, Formula 1: Drive to Survive , United Kingdom , 03/08/2019 , Documentary ,8.6,57,15677,season 5 
23-Feb, Outer Banks , United States , 04/15/2020 , Drama ,7.5,70,32926,season 3 
22-Feb, Triada , Spain , 02/22/2023 , Drama ,6.3,,6822,season 1 
22-Feb, Murdaugh Murders: A Southern Scandal , United States , 02/22/2023 , Documentary ,6.7,,2081,season 1 
17-Feb, A Girl and an Astronaut , Poland , 02/17/2023 , Science Fiction ,4.7,,865,season 1 
17-Feb, Community Squad , Argentina , 02/17/2023 , Comedy ,7.6,,364,season 1 
17-Feb, Ganglands , France , 09/24/2021 , Action ,7.1,,3998,season 2 
16-Feb, Aggretsuko , Japan , 04/20/2018 , Animation ,8,96,,season 5 
16-Feb, The Upshaws , United States , 05/12/2021 , Comedy ,6.9,84,1174,season 3 
15-Feb, #NoFilter , United Kingdom , 02/15/2023 , Comedy , ,,154,
15-Feb, African Queens: Njinga , United States , 02/15/2023 , Documentary ,3.5,,89,season 1 
15-Feb, La primera vez , Spain , 02/15/2023 , Drama ,8,,1539,season 1 
15-Feb, Full Swing , United States , 02/15/2023 , Documentary ,8,,799,season 1 
15-Feb, The Law According to Lidia Poët , Italy , 02/15/2023 , Drama ,7.4,,4103,season 1 
14-Feb, Perfect Match , United States , 02/14/2023 , Reality-Show ,6,,8962,season 1 
14-Feb, In Love All Over Again , Spain , 02/14/2023 , Drama ,6.3,,1162,season 1 
10-Feb, Love to Hate You , South Korea , 02/10/2023 , Comedy ,7.9,,3553,season 1 
9-Feb, My Dad the Bounty Hunter , United States , 02/09/2023 , Animation ,7,,849,season 1 
9-Feb, You , United States , 09/09/2018 , Crime ,7.7,92,47072,season 4 
3-Feb, Class , India , 02/03/2023 , Drama ,6.2,,1694,season 1 
2-Feb, MAKE MY DAY , Japan , 02/02/2023 , Animation ,5.4,,,
2-Feb, Freeridge , United States , 02/02/2023 , Comedy ,5.8,,346,season 1 
1-Feb, Gunther's Millions , United States , 02/01/2023 , Documentary ,5.5,,148,season 1 
30-Jan, Princess Power , United States , 01/30/2023 , Animation ,6.7,,75,season 1 
27-Jan, Lockwood & Co. , United Kingdom , 01/27/2023 , Fantasy ,7.4,,6867,season 1 
27-Jan, The Snow Girl , Spain , 01/27/2023 , Crime ,6.8,,7499,season 1 
27-Jan, Kings of Jo'Burg , South Africa , 12/04/2020 , Crime ,5.2,,1166,season 2 
26-Jan, Daniel Spellbound , United States , 10/27/2022 , Animation ,6.9,,121,season 2 
26-Jan, Record of Ragnarok , Japan , 06/17/2021 , Animation ,6.4,72,6707,season 2 
25-Jan, The Endless Night , Brazil , 01/25/2023 , Drama ,7.6,,356,season 1 
25-Jan, Against the Ropes , Mexico , 01/25/2023 , Drama ,6.6,100,239,season 1 
24-Jan, Physical: 100 , South Korea , 01/24/2023 , Reality-Show ,7.7,,14072,season 1 
20-Jan, Shanty Town , Nigeria , 01/20/2023 , Crime ,4.7,94,573,season 1 
20-Jan, Shahmaran , Turkey , 01/20/2023 , Fantasy ,5.1,,4395,season 1 
20-Jan, Bling Empire: New York , United States , 01/20/2023 , Reality-Show ,5.2,,819,season 1 
20-Jan, Represent , France , 01/20/2023 , Comedy ,6.5,,282,season 1 
20-Jan, Bake Squad , United States , 08/11/2021 , Reality-Show ,6.9,58,1441,season 2 
19-Jan, That '90s Show , United States , 01/19/2023 , Comedy ,6.4,76,2495,season 1 
19-Jan, Junji Ito Maniac: Japanese Tales of the Macabre , Japan , 01/19/2023 , Animation ,6,,230,season 1 
