link,language,words,kudos,comments,bookmarks,hits
https://archiveofourown.org/works/45067477,English,"2,648",473,60,57,2919
https://archiveofourown.org/works/45062014,English,"2,292",42,10,4,581
https://archiveofourown.org/works/45058564,English,"1,934",121,14,16,800
https://archiveofourown.org/works/45057832,English,"1,681",11,0,1,223
https://archiveofourown.org/works/45056863,English,"3,571",260,20,35,1961
https://archiveofourown.org/works/45056881,English,"2,016",145,16,9,1288
https://archiveofourown.org/works/45055786,English,"2,226",46,0,3,589
https://archiveofourown.org/works/45054850,English,"1,669",433,22,53,3285
https://archiveofourown.org/works/45028201,English,"1,072",356,25,34,2764
https://archiveofourown.org/works/45024322,English,"5,383",191,9,15,1679
https://archiveofourown.org/works/45023794,English,"1,401",323,20,25,2404
https://archiveofourown.org/works/45013423,English,"4,114",879,59,124,5814
https://archiveofourown.org/works/44985814,English,"19,631",519,42,84,5408
https://archiveofourown.org/works/45010582,English,"2,110",314,17,28,2202
https://archiveofourown.org/works/45010003,English,"4,110",136,23,8,757
https://archiveofourown.org/works/45008902,English,657,37,2,3,396
https://archiveofourown.org/works/45008725,English,"1,163",187,1,12,1922
https://archiveofourown.org/works/45006874,English,"2,100",222,3,24,1848
https://archiveofourown.org/works/44982742,English,"2,330",93,5,3,873
https://archiveofourown.org/works/44994568,English,"3,399",389,29,39,2716
https://archiveofourown.org/works/44991853,English,"3,576",68,15,16,665
https://archiveofourown.org/works/44987773,English,"5,487",535,46,97,4246
https://archiveofourown.org/works/44984257,English,"1,106",241,12,20,2609
https://archiveofourown.org/works/44981119,English,"1,959",144,3,5,1114
https://archiveofourown.org/works/44947030,English,"7,242",280,20,43,2291
https://archiveofourown.org/works/44029230,English,"2,122",12,0,0,208
https://archiveofourown.org/works/44938747,English,689,117,0,10,1049
https://archiveofourown.org/works/44930671,English,"1,204",101,7,10,673
https://archiveofourown.org/works/44930326,English,"1,583",142,5,12,1314
https://archiveofourown.org/works/44928739,English,"2,096",123,0,3,1794
https://archiveofourown.org/works/44894392,English,"2,329",86,4,14,1128
https://archiveofourown.org/works/44835193,English,"6,071",288,20,29,4520
https://archiveofourown.org/works/44918935,English,"2,395",179,33,21,778
https://archiveofourown.org/works/44850883,English,"3,676",116,16,11,1291
https://archiveofourown.org/works/44908540,English,"1,978",166,8,17,1498
https://archiveofourown.org/works/44907829,English,"1,707",319,16,41,2197
https://archiveofourown.org/works/44904502,English,"2,263",100,4,4,1003
https://archiveofourown.org/works/44893177,English,"3,204",267,5,19,3051
https://archiveofourown.org/works/44887462,English,"1,442",242,23,24,1673
https://archiveofourown.org/works/44871055,English,"2,715",181,20,9,1389
https://archiveofourown.org/works/44870632,English,"1,198",580,43,61,4386
https://archiveofourown.org/works/44867332,English,"1,737",20,4,3,227
https://archiveofourown.org/works/44864599,English,785,219,4,9,2152
https://archiveofourown.org/works/44864107,English,"1,868",71,4,6,656
https://archiveofourown.org/works/44860363,English,"2,027",229,18,22,2273
https://archiveofourown.org/works/44843365,English,150,11,2,1,161
https://archiveofourown.org/works/44840008,English,"1,134",249,6,20,2505
https://archiveofourown.org/works/44835571,English,"1,070",296,32,36,2328
https://archiveofourown.org/works/44830444,English,"1,910",187,9,27,2394
https://archiveofourown.org/works/44826466,English,"1,165",136,4,16,4499
https://archiveofourown.org/works/44824879,English,"2,872",1080,79,130,6959
https://archiveofourown.org/works/44820778,English,"2,680",126,4,12,1406
https://archiveofourown.org/works/44815111,English,"1,692",66,4,6,660
https://archiveofourown.org/works/44811289,English,"1,597",205,2,6,2054
https://archiveofourown.org/works/44807597,Українська,567,37,8,0,236
https://archiveofourown.org/works/44803706,English,"2,335",557,33,70,4381
https://archiveofourown.org/works/44727682,English,"4,602",552,54,45,4941
https://archiveofourown.org/works/44795155,English,"2,258",151,4,17,1556
https://archiveofourown.org/works/44794078,English,783,85,13,3,516
https://archiveofourown.org/works/44793961,English,"1,066",132,7,6,1866
https://archiveofourown.org/works/44793301,English,"7,961",589,58,115,4898
https://archiveofourown.org/works/44782837,English,"4,039",248,14,36,1930
https://archiveofourown.org/works/44774395,Українська,"4,073",11,2,1,82
https://archiveofourown.org/works/44766430,English,"2,888",600,35,102,6263
https://archiveofourown.org/works/44763229,English,"1,782",81,8,7,3600
https://archiveofourown.org/works/44744098,English,"1,294",381,25,45,3561
https://archiveofourown.org/works/44584582,English,"4,118",18,11,2,125
https://archiveofourown.org/works/44740261,English,630,272,24,17,2738
https://archiveofourown.org/works/44740120,English,"2,931",215,28,9,1197
https://archiveofourown.org/works/44738323,English,870,58,1,8,731
https://archiveofourown.org/works/44727628,English,"1,546",246,20,24,2872
https://archiveofourown.org/works/44718403,English,946,154,9,11,1946
https://archiveofourown.org/works/44575585,English,"2,484",35,2,3,301
https://archiveofourown.org/works/44688010,Українська,"4,364",6,2,0,67
https://archiveofourown.org/works/44674834,English,"2,279",234,30,14,1405
https://archiveofourown.org/works/44666578,English,"1,381",13,2,1,123
https://archiveofourown.org/works/44659045,English,731,117,6,9,1905
https://archiveofourown.org/works/44651269,English,687,38,3,0,2399
https://archiveofourown.org/works/44646250,English,"6,632",128,17,16,3445
https://archiveofourown.org/works/44627746,Bahasa Indonesia,729,8,0,0,144
https://archiveofourown.org/works/44624332,English,"1,357",90,15,11,452
https://archiveofourown.org/works/44622988,English,"2,981",182,25,12,1120
https://archiveofourown.org/works/44618932,English,"2,265",54,7,3,3372
https://archiveofourown.org/works/44618332,English,"5,956",61,3,9,1200
https://archiveofourown.org/works/44578201,English,676,163,11,8,1174
https://archiveofourown.org/works/44525851,English,295,18,5,1,460
https://archiveofourown.org/works/44525836,English,498,18,3,2,313
https://archiveofourown.org/works/44524861,English,"8,501",31,6,3,1123
https://archiveofourown.org/works/44523286,English,"11,861",80,6,7,1426
https://archiveofourown.org/works/44280367,English,"2,854",112,8,7,2148
https://archiveofourown.org/works/44352631,English,"1,874",126,5,12,1568
https://archiveofourown.org/works/44331544,English,"3,078",133,12,13,3224
https://archiveofourown.org/works/44314234,English,"2,069",104,4,7,704
https://archiveofourown.org/works/44257306,English,315,19,6,3,495
https://archiveofourown.org/works/44235967,English,"3,193",143,4,17,1974
https://archiveofourown.org/works/44228203,English,"2,472",274,25,18,2704
https://archiveofourown.org/works/26794225,English,"204,959",364,336,47,11663
https://archiveofourown.org/works/44168686,English,407,52,10,1,968
https://archiveofourown.org/works/44163121,English,"2,307",51,4,6,668
https://archiveofourown.org/works/44088697,English,"1,118",43,1,4,482
https://archiveofourown.org/works/44085211,English,"1,109",28,10,5,428
https://archiveofourown.org/works/44083390,English,"4,052",278,7,36,3086
https://archiveofourown.org/works/44044239,Русский,"1,025",4,0,0,25
https://archiveofourown.org/works/44043678,Русский,"2,004",12,0,0,96
https://archiveofourown.org/works/43850620,English,"1,316",56,24,7,478
https://archiveofourown.org/works/43829439,English,"6,121",49,6,0,473
https://archiveofourown.org/works/43594182,English,"1,439",99,4,13,625
https://archiveofourown.org/works/43814592,English,"2,280",172,15,16,1712
https://archiveofourown.org/works/43723593,English,"1,527",157,5,8,2306
https://archiveofourown.org/works/43480503,Русский,839,1,0,0,41
https://archiveofourown.org/works/43479342,Русский,"3,091",1,0,0,35
https://archiveofourown.org/works/43461150,English,"2,625",117,10,7,2657
https://archiveofourown.org/works/43244620,English,646,15,2,4,260
https://archiveofourown.org/works/43150861,English,989,26,1,0,187
https://archiveofourown.org/works/43100862,עברית,"2,196",3,3,0,38
https://archiveofourown.org/works/42703587,English,"6,430",69,24,12,753
https://archiveofourown.org/works/43057926,English,"2,255",165,17,9,1604
https://archiveofourown.org/works/24482638,English,"9,173",177,65,13,3957
https://archiveofourown.org/works/43017366,English,"3,342",77,4,7,656
https://archiveofourown.org/works/42929571,English,"2,468",105,9,4,2682
https://archiveofourown.org/works/24595771,English,"9,640",406,44,57,4824
https://archiveofourown.org/works/42817701,English,"1,380",131,6,8,2838
https://archiveofourown.org/works/42353388,English,"6,224",266,16,36,2775
https://archiveofourown.org/works/41708841,English,500,13,5,0,102
https://archiveofourown.org/works/41436312,English,681,14,2,1,2403
https://archiveofourown.org/works/41406354,English,"9,143",188,10,23,2164
https://archiveofourown.org/works/41406843,English,"1,120",144,6,15,921
https://archiveofourown.org/works/41403960,English,"2,459",60,6,5,418
https://archiveofourown.org/works/41403606,English,"2,722",63,10,16,519
https://archiveofourown.org/works/40837761,English,"5,117",118,19,20,1321
https://archiveofourown.org/works/41378439,English,"1,172",15,2,3,206
