release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
Feb 252022, The Fame Game , India , 02/25/2022 , Drama ,6.7,50,2279,season 1 
Feb 252022, Juvenile Justice , South Korea , 02/25/2022 , Drama ,7.9,71,3727,season 1 
Feb 252022, De Volta Aos 15 , Brazil , 02/25/2022 , Comedy ,6.7,,558,season 1 
Feb 252022, Vikings: Valhalla , United States , 02/25/2022 , History ,7.3,95,25206,season 1 
Feb 242022, Karma's World Music Videos , United States , 02/24/2022 , Animation , ,,,
Feb 242022, Rust Valley Restorers , Canada , 12/06/2018 , Documentary ,7.7,83,649,season 4 
Feb 222022, Cat Burglar , United States , 02/22/2022 , Animation ,6.6,,,season 1 
Feb 222022, Race: Bubba Wallace , United States , 02/22/2022 , Documentary ,6.5,60,,season 1 
Feb 222022, Capitani , Luxembourg , 10/01/2019 , Crime ,6.6,,2871,season 2 
Feb 182022, The Cuphead Show! , United States , 02/18/2022 , Animation ,7.4,87,2270,season 1 
Feb 182022, Space Force , United States , 05/29/2020 , Comedy ,6.7,58,7737,season 2 
Feb 172022, Young Wallander , United Kingdom , 09/03/2020 , Crime ,6.9,64,3548,season 2 
Feb 162022, Thirty-Nine , South Korea , 02/16/2022 , Drama ,7.7,,4120,
Feb 162022, Cielo grande , Spain , 02/16/2022 , Drama ,6.1,,157,season 1 
Feb 162022, jeen-yuhs: A Kanye Trilogy , United States , 02/16/2022 , Documentary ,8,82,715,season 1 
Feb 162022, Swap Shop , United States , 11/09/2021 , Reality-Show ,6.7,,,season 2 
Feb 152022, Ridley Jones , United States , 07/13/2021 , Animation ,2.4,,45,season 3 
Feb 152022, Ridley Jones , United States , 07/13/2021 , Animation ,2.4,,45,season 4 
Feb 142022, Rebel Cheer Squad: A Get Even Series , United Kingdom , 02/14/2022 , Drama ,4.7,,34,
Feb 142022, Fishbowl Wives , Japan , 02/14/2022 , Drama ,6.2,,1298,season 1 
Feb 142022," Devotion, a Story of Love and Desire ", Italy , 02/14/2022 , Drama ,6.4,,2254,season 1 
Feb 132022, Borgen - Power & Glory , Denmark , 02/13/2022 , Drama ,8.5,,11,season 1 
Feb 122022, Twenty Five Twenty One , South Korea , 02/12/2022 , Comedy ,8.6,97,10399,season 1 
Feb 112022, Inventing Anna , United States , 02/11/2022 , Drama ,6.8,64,34547,season 1 
Feb 112022, Inventing Anna , United States , 02/11/2022 , Drama ,6.8,64,34547,
Feb 112022, Love Is Blind , United States , 02/13/2020 , Reality-Show ,4.2,70,34054,season 2 
Feb 92022, Only Jokes Allowed , South Africa , 02/09/2022 , Documentary ,4.6,,,season 1 
Feb 92022, Catching Killers , United States , 11/04/2021 , Documentary ,6.6,72,1256,season 2 
Feb 82022, Love is Blind: Japan , Japan , 02/08/2022 , Reality-Show ,7.1,,170,season 1 
Feb 62022, Two Summers , Belgium , 02/06/2022 , Mystery ,6.8,,1150,season 1 
Feb 42022, Sweet Magnolias , United States , 05/19/2020 , Drama ,7.3,79,8192,season 2 
Feb 32022, Murderville , United States , 02/03/2022 , Comedy ,6.9,74,101,season 1 
Feb 32022, Finding Ola , Egypt , 02/03/2022 , Comedy ,7.4,,2468,season 1 
Feb 32022, Kid Cosmic , United States , 02/02/2021 , Animation ,7.9,91,,season 3 
Feb 22022, Dark Desire , Mexico , 07/15/2020 , Drama ,6.5,60,29390,season 2 
Feb 12022, Wrong Side of the Tracks , Spain , 02/01/2022 , Drama ,6.9,,15521,season 1 
Feb 12022, Gabby's Dollhouse , United States , 01/05/2021 , Animation ,7.2,,5479,season 4 
Feb 12022, Raising Dion , United States , 10/04/2019 , Drama ,7.1,91,4394,season 2 
Jan 282022, The Orbital Children , Japan , 01/28/2022 , Animation ,6.4,,,season 1 
Jan 282022, Getting Curious with Jonathan Van Ness , United States , 01/28/2022 , Comedy ,6.9,100,,season 1 
Jan 282022, All of Us Are Dead , South Korea , 01/28/2022 , Horror ,7.5,88,27135,season 1 
Jan 282022, Feria: The Darkest Light , Spain , 01/28/2022 , Crime ,5.7,,572,season 1 
Jan 282022, The Woman in the House Across the Street from the Girl in the Window , United States , 01/28/2022 , Crime ,6.4,54,5811,season 1 
Jan 282022, In From the Cold , United States , 01/28/2022 , Drama ,6.3,71,5560,season 1 
Jan 272022, Soy Georgina , United States , 01/27/2022 , Reality-Show ,4,,8235,season 1 
Jan 272022, Chosen , Denmark , 01/27/2022 , Science Fiction ,4.6,40,117,season 1 
Jan 252022, Love Never Lies: Poland , Poland , 01/25/2022 , Reality-Show ,6.1,,253,
Jan 252022, Neymar: The Perfect Chaos , Brazil , 01/25/2022 , Documentary ,6.6,75,1307,season 1 
Jan 252022," Ada Twist, Scientist ", United States , 09/28/2021 , Animation ,7.4,,,season 2 
Jan 212022, Temporada de Verão , Brazil , 01/21/2022 , Drama ,5.6,,329,season 1 
Jan 212022, Ozark , United States , 07/21/2017 , Drama ,8.5,82,29962,season 4 
Jan 192022, La divina gula , Mexico , 01/19/2022 , Documentary ,6.3,,40,season 1 
Jan 192022, Too Hot to Handle , United States , 04/17/2020 , Reality-Show ,4.7,,35050,season 3 
Jan 192022, El marginal , Argentina , 06/02/2016 , Crime ,8.2,,1292,season 4 
Jan 182022, The Puppet Master: Hunting the Ultimate Conman , United States , 01/18/2022 , Documentary ,6.9,100,374,season 1 
Jan 182022, DOTA: Dragon's Blood , United States , 03/25/2021 , Animation ,7.8,,1960,season 2 
Jan 142022, Yeh Kaali Kaali Ankhein , India , 01/14/2022 , Drama ,7,,1940,
Jan 142022, Archive 81 , United States , 01/14/2022 , Mystery ,7.3,86,7967,season 1 
Jan 142022, After Life , United Kingdom , 03/08/2019 , Comedy ,8.4,71,2672,season 3 
Jan 122022, Cheer , United States , 01/08/2020 , Documentary ,8.1,,1061,season 2 
Jan 72022, Hype House , United States , 01/07/2022 , Reality-Show ,1.9,,708,season 1 
Jan 52022, Rebelde , Mexico , 01/05/2022 , Comedy ,6.4,,2865,season 1 
Jan 42022, Workin' Moms , Canada , 01/10/2017 , Comedy ,7.8,71,7136,season 6 
Jan 32022, Action Pack , United States , 01/04/2022 , Animation ,6.5,,325,season 1 
Jan 12022, Framed! A Sicilian Murder Mystery , Italy , 01/01/2022 , Comedy ,6.8,,,season 1 
Jan 12022, Oggy and the Cockroaches: Next Generation , United States , 01/01/2022 , Animation ,6.4,,1,
Jan 12022, Framed! A Sicilian Murder Mystery , Italy , 01/01/2022 , Comedy ,6.8,,213,season 1 
Jan 12022, The Hook Up Plan , France , 12/07/2018 , Comedy ,7.1,,183,season 3 
Dec 312021, Stay Close , United Kingdom , 12/31/2021 , Drama ,6.9,92,11142,season 1 
Dec 312021, Cobra Kai , United States , 05/02/2018 , Action ,8.5,94,41951,season 4 
Dec 312021, Queer Eye , United States , 02/07/2018 , Reality-Show ,8.5,93,1633,season 6 
Dec 302021, Kitz , Germany , 12/30/2021 , Drama ,5.8,40,1889,season 1 
Dec 292021, Crime Scene: The Times Square Killer , United States , 12/29/2021 , Documentary ,6.5,,379,
Dec 292021, Crime Scene: The Vanishing at the Cecil Hotel , United States , 02/10/2021 , Documentary ,6,76,6240,season 2 
Dec 282021, Word Party Presents: Math! , United States , 12/28/2021 , Animation ,7,,2,
Dec 262021, Ancient Apocalypse , United Kingdom , 01/01/2021 , Documentary , ,,1,season 1 
Dec 252021, Stories of a Generation - with Pope Francis , Italy , 12/25/2021 , Documentary ,7.5,,,season 1 
Dec 242021, The Silent Sea , South Korea , 12/24/2021 , Science Fiction ,6.9,75,5487,season 1 
Dec 222021, WWII in Color: Road to Victory , United States , 12/22/2021 , Documentary ,8.2,,1407,
Dec 222021, Emily in Paris , United States , 10/02/2020 , Drama ,6.9,62,60985,season 2 
Dec 212021, Cecilia , Mexico , 12/21/2021 , Drama ,6.7,,8,season 1 
Dec 202021, Elite Short Stories: Samuel Omar , Spain , 12/20/2021 , Crime ,6.1,,3,
Dec 202021, The Witcher: Fireplace , United States , 12/20/2021 , Broadcast , ,,,
Dec 202021, Dynasty , United States , 10/11/2017 , Drama ,7.3,,28135,season 5 
Dec 182021, Single’s Inferno , United States , 12/18/2021 , Reality-Show ,7.1,,,season 1 
Dec 182021, Single’s Inferno , South Korea , 01/01/2021 , Reality-Show ,7.2,44,6462,season 1 
Dec 172021, Decoupled , India , 12/17/2021 , Comedy ,7.9,67,1274,season 1 
Dec 172021, Fast and Furious Spy Racers , United States , 12/26/2019 , Animation ,5.9,,1577,season 6 
Dec 172021, The Witcher , United States , 12/20/2019 , Fantasy ,8.1,81,30788,season 2 
Dec 162021, Aggretsuko , Japan , 04/20/2018 , Animation ,8,96,,season 4 
Dec 162021, Aggressive Retsuko , Japan , 04/02/2016 , Animation ,8.2,,,season 4 
Dec 152021, Elite Short Stories: Phillipe Caye Felipe , Spain , 12/15/2021 , Crime ,6.2,,3,
Dec 152021, Selling Tampa , United States , 12/15/2021 , Reality-Show ,4.7,44,1124,season 1 
Dec 142021, The Future Diary , Japan , 12/14/2021 , Reality-Show ,7.1,,,season 1 
Dec 142021, Charlie's Colorforms City , United States , 03/22/2019 , Animation ,6.6,,,season 2 
Dec 102021, Aranyak , India , 12/10/2021 , Crime ,7.8,100,2076,
Dec 102021, Twentysomethings: Austin , United States , 12/10/2021 , Reality-Show ,6.2,55,191,season 1 
Dec 102021, Tiger King: The Doc Antle Story , United States , 12/10/2021 , Documentary ,6.2,,93,
Dec 102021, Saturday Morning All Star Hits! , United States , 12/10/2021 , Comedy ,7.5,89,,season 1 
Dec 102021, How To Ruin Christmas , South Africa , 12/16/2020 , Comedy ,6.4,,1205,season 2 
Dec 72021, Go Dog Go , United States , 01/26/2021 , Animation ,7.2,,2886,season 2 
Dec 62021, Joe Pickett , United States , 12/06/2021 , Western ,7.4,77,24,season 1 
Dec 62021, Our Beloved Summer , South Korea , 12/06/2021 , Comedy ,8.2,86,6604,
Dec 62021, VOIR , United States , 12/06/2021 , Documentary , ,,,
Dec 52021, You Don't Know Me , United Kingdom , 12/05/2021 , Drama ,6.8,100,3164,season 1 
Dec 32021, Coming Out Colton , United States , 12/03/2021 , Reality-Show ,6.8,,,season 1 
Dec 32021, Money Heist: From Tokyo to Berlin , Spain , 09/03/2021 , Documentary ,7.6,,2477,season 2 
Dec 32021, Jurassic World: Camp Cretaceous , United States , 09/17/2020 , Animation ,7.5,92,16375,season 4 
Dec 12021, JoJo's Bizarre Adventure , Japan , 10/06/2012 , Animation ,8.5,,1733,season 5 
Dec 12021, Lost in Space , United States , 04/13/2018 , Science Fiction ,7.3,84,8891,season 3 
Nov 282021, Nisser , Denmark , 11/28/2021 , Fantasy ,5.6,38,1215,season 1 
Nov 262021, Light the Night , Taiwan , 11/26/2021 , Drama ,7.4,,1794,
Nov 262021, Dig Deeper: The Disappearance of Birgit Meier , Germany , 11/26/2021 , Documentary ,7.2,46,142,
Nov 252021, Super Crooks , Japan , 11/25/2021 , Animation ,7.1,100,36,season 1 
Nov 252021, F is for Family , United States , 12/18/2015 , Animation ,8,93,554,season 5 
Nov 242021, The Real World Homecoming: Los Angeles , United States , 11/24/2021 , Reality-Show ,7.4,,,
Nov 242021, True Story , United States , 11/24/2021 , Drama ,7.4,,4907,season 1 
Nov 242021, Selling Sunset , United States , 03/22/2019 , Reality-Show ,6.5,68,10347,season 4 
Nov 232021, Reasonable Doubt: A Tale of Two Kidnappings , Mexico , 11/23/2021 , Documentary ,7.6,,46,
Nov 232021, The Fastest , United States , 11/23/2021 , Reality-Show ,5.2,,10,
Nov 232021, Masters of the Universe: Revelation , United States , 07/23/2021 , Animation ,5.4,93,891,season 2 
Nov 212021, Undercover , Belgium , 02/24/2019 , Crime ,7.8,86,3382,season 3 
Nov 202021, New World , South Korea , 11/20/2021 , Reality-Show ,3.1,,107,
Nov 192021, Blown Away: Christmas , Canada , 11/19/2021 , Reality-Show ,6.8,,2,season 1 
Nov 192021, Cowboy Bebop , United States , 11/19/2021 , Science Fiction ,6.7,46,4871,season 1 
Nov 192021," The Mind, Explained ", United States , 09/12/2019 , Documentary ,8,,,season 2 
Nov 182021, Dogs in Space , United States , 11/18/2021 , Animation ,7.2,,,
Nov 172021, Christmas Flow , France , 11/17/2021 , Comedy ,6,,612,season 1 
Nov 172021, Strappare lungo i bordi , Italy , 11/17/2021 , Animation , ,,,season 1 
Nov 172021, Tiger King , United States , 03/20/2020 , Documentary ,7.5,51,7628,season 2 
Nov 162021, Storybots Laugh Learn Sing , United States , 11/19/2021 , Animation ,8.7,,,season 1 
Nov 132021, Super Monsters , Japan , 10/13/2017 , Animation ,6.4,,,season 4 
Nov 112021, Love Never Lies , Spain , 11/11/2021 , Reality-Show , ,,373,
Nov 102021, Animal , Brazil , 11/10/2021 , Documentary ,7.9,56,828,season 1 
Nov 102021, Gentefied , United States , 02/21/2020 , Comedy ,7.4,96,27,season 2 
Nov 92021, Your Life Is A Joke , Germany , 11/09/2021 , Documentary ,5.5,,,
Nov 92021, Swap Shop , United States , 11/09/2021 , Reality-Show ,6.7,,,season 1 
Nov 62021, Arcane , United States , 11/06/2021 , Animation ,9,100,16760,season 1 
Nov 52021, The Club , Turkey , 11/05/2021 , Drama ,7.8,,678,season 1 
Nov 52021, The Unlikely Murderer , Sweden , 11/05/2021 , Crime ,7,100,275,season 1 
Nov 52021, Narcos: Mexico , United States , 11/16/2018 , Crime ,8.4,90,9192,season 3 
Nov 52021, Big Mouth , United States , 09/29/2017 , Animation ,7.9,99,6280,season 5 
Nov 42021, Catching Killers , United States , 11/04/2021 , Documentary ,6.6,72,1256,season 1 
Nov 22021, Ridley Jones , United States , 07/13/2021 , Animation ,2.4,,45,season 2 
Oct 292021, Call My Agent: Bollywood , India , 10/29/2021 , Comedy ,5.8,,590,
Oct 292021, The Time It Takes , Spain , 10/29/2021 , Drama ,7.1,100,150,season 1 
Oct 292021, Colin in Black & White , United States , 10/29/2021 , Drama ,6,,305,season 1 
Oct 292021, Luis Miguel: The Series , Mexico , 04/22/2018 , Drama ,8,,5345,season 3 
Oct 292021, Deadwind , Finland , 03/14/2018 , Crime ,7.3,80,371,season 3 
Oct 272021, Guida astrologica per cuori infranti , Italy , 10/27/2021 , Comedy ,7.1,,774,season 1 
Oct 272021, Sintonia , Brazil , 08/09/2019 , Drama ,6.7,,459,season 2 
Oct 262021, Soil , Belgium , 10/26/2021 , Drama , ,,329,season 1 
Oct 252021, Bonus Family , Sweden , 01/30/2017 , Drama ,7.6,88,260,season 4 
Oct 222021, More than Blue , Taiwan , 10/22/2021 , Drama ,8,,178,season 1 
Oct 222021, The Raincoat Killer: Chasing a Predator in Korea , South Korea , 10/22/2021 , Documentary ,6.4,70,164,
Oct 222021, Inside Job , United States , 10/22/2021 , Animation ,7.7,79,3198,season 1 
Oct 222021, Adventure Beast , United States , 10/22/2021 , Animation ,5.3,,,season 1 
Oct 222021, Maya and the Three , United States , 10/22/2021 , Animation ,8.1,100,3491,season 1 
Oct 222021, Locke & Key , Canada , 02/07/2020 , Superhero ,7.3,68,12800,season 2 
Oct 212021, Insiders , Spain , 10/21/2021 , Reality-Show ,4.6,,149,
Oct 212021," Sex, Love & Goop ", United States , 10/21/2021 , Reality-Show ,5.1,86,353,season 1 
Oct 192021, Gabby's Dollhouse , United States , 01/05/2021 , Animation ,7.2,,5479,season 3 
Oct 162021, Misfit: The Series , Netherlands , 10/16/2021 , Drama ,7,,77,season 1 
Oct 152021, My Name , South Korea , 10/15/2021 , Mystery ,7.8,100,9726,season 1 
Oct 152021, Karma’s World , United States , 10/15/2021 , Animation ,7.3,,21,season 1 
Oct 152021, You , United States , 09/09/2018 , Crime ,7.7,92,47072,season 3 
Oct 152021, Little Things , India , 10/25/2016 , Comedy ,8.2,74,235,season 4 
Oct 142021, Another Life , United States , 07/25/2019 , Science Fiction ,5.3,6,489,season 2 
Oct 132021, Reflection of You , South Korea , 10/13/2021 , Drama ,6.7,,349,
Oct 132021, Bogdan Boner: Egzorcysta , Poland , 12/03/2020 , Animation ,5.9,,211,season 2 
Oct 122021, Mighty Express , United States , 09/22/2020 , Animation ,3.9,,638,season 5 
Oct 122021, The Movies That Made Us , United States , 11/29/2019 , Documentary ,7.6,69,41,season 3 
Oct 112021, The King's Affection , South Korea , 10/11/2021 , Drama ,7.9,88,10577,
Oct 112021, The Baby-Sitters Club , United States , 07/03/2020 , Comedy ,7.5,,2325,season 2 
Oct 82021, House of Secrets: The Burari Deaths , India , 10/08/2021 , Documentary ,7.4,60,1078,season 1 
Oct 82021, A Tale Dark & Grimm , United States , 10/08/2021 , Animation ,7.3,63,1042,
Oct 82021, Pretty Smart , United States , 10/08/2021 , Comedy ,5.8,40,178,season 1 
Oct 82021, Family Business , France , 06/28/2019 , Comedy ,7.4,,775,season 3 
Oct 72021, Before I Forget , Mexico , 10/07/2021 , Crime , ,,2019,
Oct 72021, Komi Can't Communicate , Japan , 10/07/2021 , Animation ,7.8,84,75,
Oct 72021, The Billion Dollar Code , Germany , 10/07/2021 , Drama ,8,97,433,season 1 
Oct 72021, Sexy Beasts , United Kingdom , 07/21/2021 , Reality-Show ,5.6,22,154,season 2 
Oct 72021, One of Us Is Lying , United States , 10/07/2021 , Crime ,6.9,90,12370,season 1 
Oct 62021, Love Is Blind: Brazil , Brazil , 10/06/2021 , Reality-Show ,6.2,,560,season 1 
Oct 62021, Bad Sport , United States , 10/06/2021 , Documentary ,7.3,100,201,season 1 
Oct 62021, Baking Impossible , United States , 10/06/2021 , Reality-Show ,7,100,54,season 1 
Oct 42021, On My Block , United States , 03/16/2018 , Comedy ,7.9,93,1906,season 4 
Oct 12021, Maid , United States , 10/01/2021 , Drama ,8.4,94,29210,season 1 
Sep 302021, Luna Park , Italy , 09/30/2021 , Drama ,6.5,76,45,season 1 
Sep 302021, Love 101 , Turkey , 04/24/2020 , Comedy ,7.4,74,1817,season 2 
Sep 292021, The Chestnut Man , Denmark , 09/29/2021 , Crime ,7.7,100,5847,season 1 
Sep 292021, MeatEater , United States , 01/01/2012 , Documentary ,7.6,,2,season 10 
Sep 282021," Ada Twist, Scientist ", United States , 09/28/2021 , Animation ,7.4,,,season 1 
Sep 262021, New Heights , Switzerland , 09/26/2021 , Drama ,7,,1,
Sep 262021, Toy Boy , Spain , 09/07/2019 , Crime ,6.5,,9577,season 2 
Sep 242021, Ganglands , France , 09/24/2021 , Action ,7.1,,3998,season 1 
Sep 242021, Jailbirds: New Orleans , United States , 09/24/2021 , Documentary ,6.6,100,3,season 1 
Sep 242021, Kota Factory , India , 04/16/2019 , Drama ,9,,750,season 2 
Sep 242021," Vendetta: Truth, Lies and The Mafia ", Italy , 09/24/2021 , Documentary ,6.8,,10,
Sep 242021, Midnight Mass , Canada , 09/24/2021 , Horror ,7.7,87,4860,season 1 
Sep 242021, Blood & Water , South Africa , 05/20/2020 , Drama ,6.7,86,3340,season 2 
Sep 232021, Bangkok Breaking , Thailand , 09/23/2021 , Crime ,5.8,80,203,season 1 
Sep 222021, Crime Stories: India Detectives , India , 09/22/2021 , Crime ,7.1,,180,season 1 
Sep 222021, Jaguar , Spain , 09/22/2021 , War ,5.8,60,490,season 1 
Sep 222021, Monsters Inside: The 24 Faces of Billy Milligan , United States , 09/22/2021 , Documentary ,6.2,22,624,season 1 
Sep 222021, Dear White People , United States , 04/28/2017 , Comedy ,6.3,88,,season 4 
Sep 172021, Squid Game , South Korea , 09/17/2021 , Mystery ,8,95,61070,season 1 
Sep 172021, Chicago Party Aunt , United States , 09/17/2021 , Animation ,5.6,43,14,season 1 
Sep 172021, Sex Education , United States , 01/11/2019 , Comedy ,8.3,95,21631,season 3 
Sep 162021, He-Man and the Masters of the Universe , United States , 09/16/2021 , Animation ,5.8,59,26,season 1 
Sep 152021, Too Hot to Handle: Latino , Mexico , 09/15/2021 , Reality-Show ,5.2,,436,
Sep 152021, Nailed It! , United States , 03/09/2018 , Reality-Show ,7.5,74,403,season 6 
Sep 142021, You vs. Wild: Out Cold , United States , 09/14/2021 , Reality-Show ,5.4,,35,
Sep 142021, The World's Most Amazing Vacation Rentals , United States , 06/18/2021 , Reality-Show ,6.8,,399,season 2 
Sep 142021, Jack Whitehall: Travels with My Father , United Kingdom , 09/22/2017 , Documentary ,7.6,76,661,season 5 
Sep 122021, Under Fire , Belgium , 09/12/2021 , Drama ,6.8,,170,season 1 
Sep 102021, Metal Shop Masters , United States , 09/10/2021 , Reality-Show ,5.7,29,,
Sep 102021, Lucifer , United States , 01/25/2016 , Superhero ,8.1,88,65635,season 6 
Sep 82021, Into the Night , Belgium , 05/01/2020 , Drama ,7.1,,4164,season 2 
Sep 82021, The Circle , United States ,     Netflix , Relationship ,7.2,60,10757,season 3 
Sep 72021, Octonauts: Above & Beyond , United Kingdom , 09/07/2021 , Animation ,7.2,,218,
Sep 72021, Kid Cosmic , United States , 02/02/2021 , Animation ,7.9,91,,season 2 
Sep 62021, The Perfect Mother , Germany , 04/28/2022 , Crime ,5.9,,2337,season 1 
Sep 62021, On the Verge , France , 09/06/2021 , Comedy ,6.5,60,745,
Sep 62021, Countdown: Inspiration4 Mission to Space , United States , 09/06/2021 , Documentary ,7.8,93,,season 1 
Sep 32021, Money Heist: From Tokyo to Berlin , Spain , 09/03/2021 , Documentary ,7.6,,2477,season 1 
Sep 32021, Sharkdog , United States , 09/03/2021 , Animation ,6,100,2497,
Sep 32021, Money Heist , Spain , 05/02/2017 , Action ,8.2,94,75444,season 5 
Sep 22021, Q-Force , United States , 09/02/2021 , Animation ,6.6,33,4,season 1 
Sep 12021, Turning Point: 9/11 and the War on Terror , United States , 09/01/2021 , Documentary ,7.9,,5915,season 1 
Sep 12021, How to Be a Cowboy , United States , 09/01/2021 , Reality-Show ,7.4,,,season 1 
Aug 312021, Sparking Joy with Marie Kondo , United States , 08/31/2021 , Reality-Show ,6.4,100,,season 1 
Aug 292021, The Ingenuity of the Househusband , Japan , 08/29/2021 , Comedy ,6.7,,20,
Aug 282021, Hometown Cha-Cha-Cha , South Korea , 08/28/2021 , Comedy ,8.4,95,15703,
Aug 272021, King of Boys: The Return of the King , Nigeria , 08/27/2021 , Drama ,6.8,,657,
Aug 272021, D.P. , South Korea , 08/27/2021 , Drama ,6,,1302,
Aug 272021, Titletown High , United States , 08/27/2021 , Reality-Show ,5.7,20,,
Aug 262021, Family Reunion , United States , 07/10/2019 , Comedy ,6.6,,2047,season 4 
Aug 252021, Open Your Eyes , Poland , 08/25/2021 , Science Fiction ,6.5,80,313,
Aug 252021, John of God: The Crimes of a Spiritual Healer , Brazil , 08/25/2021 , Documentary ,6.5,100,27,
Aug 252021, Post Mortem: Ingen dør i Skarnes , Norway , 08/25/2021 , Mystery ,7.1,,337,
Aug 252021, Motel Makeover , United States , 08/25/2021 , Reality-Show ,5,4,50,season 1 
Aug 252021, Clickbait , United States , 08/25/2021 , Crime ,7.2,59,12010,season 1 
Aug 232021, The Witcher: Nightmare of the Wolf , United States , 08/23/2021 , Animation ,7.2,100,3027,
Aug 202021, Everything Will Be Fine , Mexico , 08/20/2021 , Comedy , ,,89,
Aug 202021, The Chair , United States , 08/20/2021 , Drama ,7.2,86,2759,season 1 
Aug 132021, Brand New Cherry Flavor , United States , 08/13/2021 , Mystery ,7.1,78,377,season 1 
Aug 132021, Gone for Good , France , 08/13/2021 , Crime ,6.3,40,1962,
Aug 132021, Valeria , Spain , 05/08/2020 , Drama ,6.5,67,4657,season 2 
Aug 132021, Fast and Furious Spy Racers , United States , 12/26/2019 , Animation ,5.9,,1577,season 5 
Aug 132021, Grace and Frankie , United States , 05/08/2015 , Comedy ,8.2,90,3006,season 7 
Aug 122021, AlRawabi School for Girls , Jordan , 08/12/2021 , Drama ,7.3,93,5310,season 1 
Aug 122021, Slasher , Canada , 03/04/2016 , Horror ,6.7,66,,season 4 
Aug 112021, Bake Squad , United States , 08/11/2021 , Reality-Show ,6.9,58,1441,season 1 
Aug 102021, Gabby's Dollhouse , United States , 01/05/2021 , Animation ,7.2,,5479,season 2 
Aug 62021, Navarasa , India , 08/06/2021 , Drama ,5.8,,884,season 1 
Aug 62021, Hit & Run , United States , 08/06/2021 , Mystery ,7,83,10295,season 1 
Aug 42021, Cooking With Paris , United States , 08/04/2021 , Reality-Show ,5.3,29,44,season 1 
Aug 42021, Cocaine Cowboys: The Kings of Miami , United States , 08/04/2021 , Documentary ,7.1,100,1597,season 1 
Aug 42021, Control Z , Mexico , 05/22/2020 , Drama ,6.8,64,6414,season 2 
Aug 42021, Car Masters: Rust to Riches , United States , 09/14/2018 , Reality-Show ,8.4,,1641,season 3 
Jul 302021, Centaurworld , United States , 07/30/2021 , Animation ,7.7,100,,
Jul 302021, Myth & Mogul: John DeLorean , United States , 07/30/2021 , Documentary ,6.8,100,4,season 1 
Jul 302021, Outer Banks , United States , 04/15/2020 , Drama ,7.5,70,32926,season 2 
Jul 292021, Behind the Music , United States , 07/29/2021 , Documentary , ,,,season 16 
Jul 292021, Transformers: War for Cybertron , United States , 07/30/2020 , Animation ,7.2,90,250,season 3 
Jul 282021, The Snitch Cartel: Origins , Colombia , 07/28/2021 , Crime ,5.8,,8447,
Jul 282021, Tattoo Redo , United States , 07/28/2021 , Reality-Show ,5.9,46,267,season 1 
Jul 272021, Plastic Cup Boyz: Laughing My Mask Off! , United States , 07/27/2021 , Documentary ,5.5,,,
Jul 272021, Mighty Express , United States , 09/22/2020 , Animation ,3.9,,638,season 4 
Jul 272021, How to Sell Drugs Online , Germany , 05/31/2019 , Comedy ,7.8,88,4879,Fast (season 3 
Jul 232021, Revelations: The Masters of the Universe: Revelation Aftershow , United States , 07/23/2021 , Animation , ,,,
Jul 232021, Feels Like Ishq , India , 07/23/2021 , Comedy ,6.5,,635,
Jul 232021, Masters of the Universe: Revelation , United States , 07/23/2021 , Animation ,5.4,93,891,season 1 
Jul 232021, Sky Rojo , Spain , 03/19/2021 , Crime ,6.6,,8036,season 2 
Jul 232021, The Movies That Made Us , United States , 11/29/2019 , Documentary ,7.6,69,41,season 2 
Jul 212021, Too Hot to Handle: Brazil , Brazil , 07/21/2021 , Reality-Show ,5.3,40,2629,season 1 
Jul 212021, Sexy Beasts , United Kingdom , 07/21/2021 , Reality-Show ,5.6,22,154,season 1 
Jul 162021, Naomi Osaka , United States , 07/16/2021 , Documentary ,6.3,92,,season 1 
Jul 162021, The Terrornauts , United States , 02/01/1967 , Documentary ,4.9,89,6,season 3 
Jul 152021, Never Have I Ever , United States , 04/27/2020 , Comedy ,7.8,93,25880,season 2 
Jul 142021, Heist , United States , 07/14/2021 , Documentary ,6.8,88,1689,season 1 
Jul 142021, My Unorthodox Life , United States , 07/14/2021 , Reality-Show ,5.7,33,678,season 1 
Jul 132021, Ridley Jones , United States , 07/13/2021 , Animation ,2.4,,45,season 1 
Jul 92021, How to Become a Tyrant , United States , 07/09/2021 , Documentary ,7.4,100,2882,season 1 
Jul 92021, Biohackers , Germany , 08/20/2020 , Drama ,6.8,73,2493,season 2 
Jul 92021, Virgin River , United States , 12/06/2019 , Drama ,7.4,82,33036,season 3 
Jul 92021, Atypical , United States , 08/11/2017 , Comedy ,8.2,90,3813,season 4 
Jul 82021, Elize Matsunaga: Once Upon a Crime , Brazil , 07/08/2021 , Documentary ,5.9,40,226,
Jul 82021, Resident Evil: Infinite Darkness , United States , 07/08/2021 , Animation ,5.7,50,1469,season 1 
Jul 72021, The War Next-door , Mexico , 07/07/2021 , Comedy ,5.7,,2877,
Jul 72021, Cat People , United States , 07/07/2021 , Documentary ,6.5,,,season 1 
Jul 72021, Dogs , United States , 11/16/2018 , Documentary ,8,92,,season 2 
Jul 62021, I Think You Should Leave with Tim Robinson , United States , 04/23/2019 , Talk Show ,8,98,,season 2 
Jul 52021, You Are My Spring , South Korea , 07/05/2021 , Drama ,7.4,,546,season 1 
