release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
Mar 1, Cheat , United Kingdom , 03/01/2023 , Quiz Show ,5.5,,,season 1 
Feb 28, Too Hot to Handle: Germany , Germany , 02/28/2023 , Reality-Show ,4.4,,1337,season 1 
Feb 24, Oddballs , United States , 10/07/2022 , Animation ,6.4,,154,season 2 
Feb 24, Formula 1: Drive to Survive , United Kingdom , 03/08/2019 , Documentary ,8.6,57,15677,season 5 
Feb 23, Outer Banks , United States , 04/15/2020 , Drama ,7.5,70,32926,season 3 
Feb 22, Triada , Spain , 02/22/2023 , Drama ,6.3,,6822,season 1 
Feb 22, Murdaugh Murders: A Southern Scandal , United States , 02/22/2023 , Documentary ,6.7,,2081,season 1 
Feb 17, A Girl and an Astronaut , Poland , 02/17/2023 , Science Fiction ,4.7,,865,season 1 
Feb 17, Community Squad , Argentina , 02/17/2023 , Comedy ,7.6,,364,season 1 
Feb 17, Ganglands , France , 09/24/2021 , Action ,7.1,,3998,season 2 
Feb 16, Aggretsuko , Japan , 04/20/2018 , Animation ,8,96,,season 5 
Feb 16, The Upshaws , United States , 05/12/2021 , Comedy ,6.9,84,1174,season 3 
Feb 15, #NoFilter , United Kingdom , 02/15/2023 , Comedy , ,,154,
Feb 15, African Queens: Njinga , United States , 02/15/2023 , Documentary ,3.5,,89,season 1 
Feb 15, La primera vez , Spain , 02/15/2023 , Drama ,8,,1539,season 1 
Feb 15, Full Swing , United States , 02/15/2023 , Documentary ,8,,799,season 1 
Feb 15, The Law According to Lidia Poët , Italy , 02/15/2023 , Drama ,7.4,,4103,season 1 
Feb 14, Perfect Match , United States , 02/14/2023 , Reality-Show ,6,,8962,season 1 
Feb 14, In Love All Over Again , Spain , 02/14/2023 , Drama ,6.3,,1162,season 1 
Feb 10, Love to Hate You , South Korea , 02/10/2023 , Comedy ,7.9,,3553,season 1 
Feb 9, My Dad the Bounty Hunter , United States , 02/09/2023 , Animation ,7,,849,season 1 
Feb 9, You , United States , 09/09/2018 , Crime ,7.7,92,47072,season 4 
Feb 3, Class , India , 02/03/2023 , Drama ,6.2,,1694,season 1 
Feb 2, MAKE MY DAY , Japan , 02/02/2023 , Animation ,5.4,,,
Feb 2, Freeridge , United States , 02/02/2023 , Comedy ,5.8,,346,season 1 
Feb 1, Gunther's Millions , United States , 02/01/2023 , Documentary ,5.5,,148,season 1 
Jan 30, Princess Power , United States , 01/30/2023 , Animation ,6.7,,75,season 1 
Jan 27, Lockwood & Co. , United Kingdom , 01/27/2023 , Fantasy ,7.4,,6867,season 1 
Jan 27, The Snow Girl , Spain , 01/27/2023 , Crime ,6.8,,7499,season 1 
Jan 27, Kings of Jo'Burg , South Africa , 12/04/2020 , Crime ,5.2,,1166,season 2 
Jan 26, Daniel Spellbound , United States , 10/27/2022 , Animation ,6.9,,121,season 2 
Jan 26, Record of Ragnarok , Japan , 06/17/2021 , Animation ,6.4,72,6707,season 2 
Jan 25, The Endless Night , Brazil , 01/25/2023 , Drama ,7.6,,356,season 1 
Jan 25, Against the Ropes , Mexico , 01/25/2023 , Drama ,6.6,100,239,season 1 
Jan 24, Physical: 100 , South Korea , 01/24/2023 , Reality-Show ,7.7,,14072,season 1 
Jan 20, Shanty Town , Nigeria , 01/20/2023 , Crime ,4.7,94,573,season 1 
Jan 20, Shahmaran , Turkey , 01/20/2023 , Fantasy ,5.1,,4395,season 1 
Jan 20, Bling Empire: New York , United States , 01/20/2023 , Reality-Show ,5.2,,819,season 1 
Jan 20, Represent , France , 01/20/2023 , Comedy ,6.5,,282,season 1 
Jan 20, Bake Squad , United States , 08/11/2021 , Reality-Show ,6.9,58,1441,season 2 
Jan 19, That '90s Show , United States , 01/19/2023 , Comedy ,6.4,76,2495,season 1 
Jan 19, Junji Ito Maniac: Japanese Tales of the Macabre , Japan , 01/19/2023 , Animation ,6,,230,season 1 
Jan 18, Scissor Seven , China , 01/10/2020 , Animation ,8.4,86,2,season 4 
Jan 14, Crash Course In Romance , South Korea , 01/14/2023 , Comedy ,7.9,,8758,season 1 
Jan 13, Trial By Fire , India , 01/13/2023 , Crime ,7.9,,593,season 1 
Jan 13, Break Point , United States , 01/13/2023 , Documentary ,7.3,,379,season 1 
Jan 13, Sky Rojo , Spain , 03/19/2021 , Crime ,6.6,,8036,season 3 
Jan 12, The Makanai: Cooking for the Maiko House , Japan , 01/12/2023 , Drama ,7.9,93,296,season 1 
Jan 12, Kung Fu Panda: The Dragon Knight , United States , 07/14/2022 , Animation ,6,,3616,season 2 
Jan 12, Vikings: Valhalla , United States , 02/25/2022 , History ,7.3,95,25206,season 2 
Jan 11, Sexify , Poland , 04/28/2021 , Comedy ,6.5,83,13208,season 2 
Jan 6, Pressure Cooker , United States ,     Netflix , Food ,6.4,71,256,season 1 
Jan 5, Copenhagen Cowboy , Denmark , 01/05/2023 , Crime ,6.8,67,22,season 1 
Jan 5, Ginny & Georgia , United States , 02/24/2021 , Drama ,7.5,64,55815,season 2 
Jan 4, Madoff: The Monster of Wall Street , United States , 01/04/2023 , Documentary ,7.3,,1099,season 1 
Jan 4, The Lying Life of Adults , Italy , 01/04/2023 , Drama ,6.4,100,80,season 1 
Jan 3, Workin' Moms , Canada , 01/10/2017 , Comedy ,7.8,71,7136,season 7 
Jan 1, Lady Voyeur , Brazil , 01/01/2023 , Crime ,4.9,,3056,season 1 
Jan 1, Kaleidoscope , United States , 01/01/2023 , Crime ,6.6,,12226,season 1 
Dec 312022, Live to Lead , United States , 12/31/2022 , Documentary ,4.5,,,season 1 
Dec 302022, The Ultimatum: France , France , 12/30/2022 , Reality-Show , ,,22,season 1 
Dec 302022, The Glory , South Korea , 12/30/2022 , Mystery ,8.1,,23970,season 1 
Dec 302022, Alpha Males , Spain , 12/30/2022 , Comedy , ,,1451,season 1 
Dec 302022, Cielo grande , Spain , 02/16/2022 , Drama ,6.1,,157,season 2 
Dec 302022, Chicago Party Aunt , United States , 09/17/2021 , Animation ,5.6,43,14,season 2 
Dec 292022, Brown and Friends , South Korea , 12/29/2022 , Animation ,8.4,,,season 1 
Dec 292022, Rise of Empires: Ottoman , United States , 01/24/2020 , History ,7.9,,1015,season 2 
Dec 282022, The Circle , United States ,     Netflix , Relationship ,7.2,60,10757,season 5 
Dec 262022, Treason , United Kingdom , 12/26/2022 , Crime ,6.3,,3846,season 1 
Dec 252022, Time Hustler , Brazil , 12/25/2022 , Comedy ,5.6,,69,season 1 
Dec 252022, The Witcher: Blood Origin , United States , 12/25/2022 , Fantasy ,4.7,30,4145,season 1 
Dec 232022, The Fabulous , South Korea , 11/04/2022 , Comedy ,6.5,,414,season 1 
Dec 222022, Alice in Borderland , Japan , 12/10/2020 , Mystery ,7.7,84,20658,season 2 
Dec 212022, The Interest of Love , South Korea , 12/21/2022 , Drama ,6.6,,2139,
Dec 212022, Emily in Paris , United States , 10/02/2020 , Drama ,6.9,62,60985,season 3 
Dec 212022, I Am a Killer , United Kingdom , 05/29/2018 , Documentary ,7.4,82,1474,season 4 
Dec 192022, Trolley , South Korea , 12/19/2022 , Mystery ,7,,193,season 1 
Dec 162022, Summer Job , Italy , 12/16/2022 , Reality-Show ,5.6,,73,season 1 
Dec 162022, Beast of Bangalore: Indian Predator , India , 12/16/2022 , Documentary ,6.2,,99,season 1 
Dec 162022, Far from Home , Nigeria , 12/16/2022 , Drama ,5.7,,834,season 1 
Dec 162022, Cook at all Costs , Canada , 12/16/2022 , Reality-Show ,6.4,,34,season 1 
Dec 162022, Dance Monsters , United States , 12/16/2022 , Reality-Show ,5.6,,,season 1 
Dec 162022, Julestorm , Norway , 12/16/2022 , Drama ,7.1,,1365,season 1 
Dec 162022, The Recruit , United States , 12/16/2022 , Action ,7.4,69,10603,season 1 
Dec 162022, Paradise PD , United States , 08/31/2018 , Animation ,6.8,44,1834,season 4 
