,fanfic_id,series_name
183,46295881,Lockwood & Co
184,46424269,through the clouds the sun will shine to guide you home to the light
185,46422805,The Winding Stair - Marissa/Tom Short Fics
186,46422130,The Winding Stair - Marissa/Tom Short Fics
187,46403062,through the clouds the sun will shine to guide you home to the light
188,46366897,Lockwood & Co works
189,46370536,Fiona's Locklyle Week 2023
190,46360966,London Calling
191,46358098,TFATF Universe
192,46339879,Lockwood & Co Oneshots
193,46313794,Riders on the Storm
194,46263262,confiteor
195,46280236,Locklyle my beloved
196,46237879,Locklyle Week 2023
197,46227607,The Wicked North Wind
198,46231606,Locklyle Week 2023
199,46225762,In A Crowd of Thousands
200,46222702,Lockwood and Co. Morsels
201,46188061,"Yes, Sir"
202,46191514,Barrons Locklyle Week 2023
203,46163245,Barrons Locklyle Week 2023
204,46156387,Forever Yours: Locklyle Week 2023
205,46140007,Barrons Locklyle Week 2023
206,46134067,Farfallama’s Locklyle Week 2023
207,46120477,Barrons Locklyle Week 2023
208,46114156,"Yes, Sir"
209,46093528,Literal Dad!Barnes out here doing his best
210,46105606,London Calling
211,46102378,Forever Yours: Locklyle Week 2023
212,46101235,The Weight of Us
213,46097911,confiteor
214,46096594,Locklyle Through The Years
215,46093663,Locklyle Week 2023
216,46090408,How Much I Want This (3rd Person POV)
217,46080382,Forever Yours: Locklyle Week 2023
218,46076818,"«Агенція ""Локвуд і К⁰""» з точки зору Локвуда"
219,46070332,when there's nowhere you can run (i promise i'll still be the one)
220,46070098,Dream a Little Dream
221,46067698,Forever Yours: Locklyle Week 2023
222,46056208,Forever Yours: Locklyle Week 2023
223,46048303,TFATF Universe
224,46047928,turning saints into the sea
225,46036882,Say You Want Me
226,46031203,"I Can Go Anywhere I Want, Just Not Home"
227,45992107,"part time soulmate, full time problem"
228,46035781,IndyScrib's Locklyle Week 2023
229,46034785,Locklyle Week 2023
230,46034062,Behind Closed Doors
231,46032967,JustWriteIt13 : Locklyle Week 2023
232,45705571,Locklyle Week 2023
233,46026142,London Calling
234,46025392,London Calling
235,46015894,Locklyle Week 2023
236,46011172,What's A Girl To Do
237,46004761,JustWriteIt13 : Locklyle Week 2023
238,46004182,Locklyle Week 2023
239,46001686,The Weight of Us
240,46000972,London Calling
241,46000672,London Calling
242,46015144,Locklyle Week 2023
243,45986320,Locklyle Week 2023
244,45984541,London Calling
245,45982501,London Calling
246,45977116,London Calling
247,45976288,Locklyle Week 2023
248,45973294,IndyScrib's Locklyle Week 2023
249,45969571,Locklyle Week 2023
250,45967144,burning the wick at both ends
251,45960052,Sign Of Three
252,45943195,Locklyle Week 2023
253,45959839,London Calling
254,45958765,Locklyle Week 2023
255,45958507,JustWriteIt13 : Locklyle Week 2023
256,45956830,London Calling
257,45956380,JustWriteIt13 : Locklyle Week 2023
258,45955846,London Calling
259,45954985,The Weight of Us
260,45953536,Locklyle Week 2023
261,45953320,Locklyle week 2023
262,45953092,State Lines
263,45950230,Fiona's Locklyle Week 2023
264,45949594,when there's nowhere you can run (i promise i'll still be the one)
265,45946945,Locklyle Week 2023
266,45946711,Locklyle Week 2023
267,45938020,Locklyle Week 2023
268,45931798,Locklyle Week 2023
269,45925663,JustWriteIt13 : Locklyle Week 2023
270,45926998,Fiona's Locklyle Week 2023
271,45926257,Locklyle Week 2023
272,45923554,Barrons Locklyle Week 2023
273,45922597,IndyScrib's Locklyle Week 2023
274,45919786,"Hope, Trust & Love | Musings of Lockwod & Co"
275,45917161,Locklyle First Meetings
276,45913267,Locklyle Week 2023
277,45911998,Forever Yours: Locklyle Week 2023
278,45902416,Locklyle Week 2023
279,45907522,JustWriteIt13 : Locklyle Week 2023
280,45907612,Locklyle Week 2023
281,45906346,Locklyle week 2023
282,45900238,Fiona's Locklyle Week 2023
283,45898195,Barrons Locklyle Week 2023
284,45892684,Sign Of Three
285,45894358,Locklyle Week 2023
286,45894163,IndyScrib's Locklyle Week 2023
287,45889840,Forever Yours: Locklyle Week 2023
288,45887671,Locklyle Week 2023
289,45886432,JustWriteIt13 : Locklyle Week 2023
290,45885187,Locklyle Week 2023
291,45885139,London Calling
292,45868420,Lockwood and Co. Morsels
293,45859756,The Weight of Us
294,45820789,Prince Charming
295,45810253,The Weight of Us
296,45795295,Lockwood & His Collection Of Idiots
297,45792256,when there's nowhere you can run (i promise i'll still be the one)
298,45774862,Dream a Little Dream
299,45768427,London Calling
300,45768025,London Calling
301,45747007,Dream a Little Dream
302,45746728,Locklyle First Meetings
303,45745054,this isn't a ghost story (it's a love story)
304,45719404,My Lockwood and Co fics
305,45726136,Prince Charming
306,45708334,take pride in what is sure to die
307,45707410,How Much I Want This (3rd Person POV)
308,45689383,George-centrics
309,45679222,Locklyle Through The Years
310,45697195,Lockwood and Co. Morsels
311,45691075,Locklyle 5+1
312,45688066,Deux mots et demi
313,45679093,L&Co Bodega
314,45674977,"Yes, Sir"
315,45653299,How Much I Want This (3rd Person POV)
316,45648898,Lockwood & Co Oneshots
317,45625834,Lockwood & Co
318,45639436,"""Lockwood... You're my best friend in the world."" ""Yeah... And Lucy... Luce, you're more than that."""
319,45630778,when there's nowhere you can run (i promise i'll still be the one)
320,45610120,lockwood & co appreciation week 2023
321,45594226,Prince Charming
322,45590311,Locklyle Soulmate AU
323,45588253,lockwood & co appreciation week 2023
324,45586645,Broken Like Me
325,45579649,Broken Locks
326,45575005,"I Can Go Anywhere I Want, Just Not Home"
327,45577765,lockarimlyle my beloved ♡
328,45575416,lockwood & co appreciation week 2023
329,45568291,Lockwood&Co. Appreciation Week 2023
330,45567121,Lockwood&Co. Appreciation Week 2023
331,45556270,take pride in what is sure to die
332,45550276,Broken Locks
333,45537277,lockwood & co appreciation week 2023
334,45525949,In A Crowd of Thousands
335,45519622,Lockwood & Co
336,45517432,Out like a light.
337,45512512,lockwood & co appreciation week 2023
338,45512335,Lockwood&Co. Appreciation Week 2023
339,45507604,when there's nowhere you can run (i promise i'll still be the one)
340,45505093,Lockwood&Co. Appreciation Week 2023
341,45504391,Lockwood&Co. Appreciation Week 2023
342,45486436,lockwood & co appreciation week 2023
343,45472867,"Hope, Trust & Love | Musings of Lockwod & Co"
344,45463279,lockwood & co appreciation week 2023
345,45446524,How Much I Want This (1st Person POV)
346,45438514,How Much I Want This (3rd Person POV)
347,45416176,TFATF Universe
348,45426244,Locklyle Soulmate AU
349,45409813,What Agents Do in the Dark
350,45429940,when there's nowhere you can run (i promise i'll still be the one)
351,45429529,Lockwood is worried
352,45406873,mssersmoony's moments
353,45385342,How Much I Want This (3rd Person POV)
354,45376639,Lockwood & His Collection Of Idiots
355,45363172,Locklyle Soulmate AU
356,45364228,What Agents Do in the Dark
357,45381625,I would even say perfect
358,45367795,when there's nowhere you can run (i promise i'll still be the one)
359,45365311,How Much I Want This (1st Person POV)
360,45361849,negative spaces
361,45356665,What Agents Do in the Dark
362,45352075,I would even say perfect
363,45346141,Locklyle Soulmate AU
364,45342163,L'Épopée temporelle : Les Aventures de Litany & Alisone
365,45336703,What Agents Do in the Dark
366,45312091,negative spaces
