,fanfic_id,kudos,bookmarks,comments,hits,date_scraped
145,46008760,180,15,25,963,2023-08-24
146,47400718,53,11,34,715,2023-08-24
147,45232729,569,45,26,"3,339",2023-08-24
148,47064856,197,21,18,"1,565",2023-08-24
149,46773547,115,14,108,"1,129",2023-08-24
150,47198647,,,,,2023-08-24
151,46880452,42,1,10,365,2023-08-24
152,45530002,158,16,2,"1,924",2023-08-24
153,47612044,39,5,12,503,2023-08-24
154,47168065,52,1,10,325,2023-08-24
155,46833823,39,2,5,483,2023-08-24
156,47490490,37,1,15,170,2023-08-24
157,45256114,441,39,28,"2,489",2023-08-24
158,47315245,89,10,9,"1,044",2023-08-24
159,46422553,128,3,3,835,2023-08-24
160,47284264,19,3,,397,2023-08-24
161,47250964,37,2,14,336,2023-08-24
162,45837598,191,14,9,"1,554",2023-08-24
163,46241863,12,,1,249,2023-08-24
164,47099179,150,8,33,884,2023-08-24
165,47804239,26,4,9,510,2023-08-24
166,47845816,46,,6,246,2023-08-24
167,47580799,43,2,4,330,2023-08-24
168,45531718,341,91,74,"2,861",2023-08-24
169,47131483,323,32,273,"7,497",2023-08-24
170,47597992,153,6,17,"1,560",2023-08-24
171,45880543,6,1,,62,2023-08-24
172,47821801,50,3,12,325,2023-08-24
173,45180535,20,2,,673,2023-08-24
174,47215669,3,,,41,2023-08-24
175,47379352,137,8,38,"1,061",2023-08-24
176,47746132,8,,,257,2023-08-24
177,47682055,164,15,64,"1,711",2023-08-24
178,47535871,9,,1,79,2023-08-24
179,45548635,71,1,6,328,2023-08-24
180,46982533,326,61,126,"2,326",2023-08-24
181,47156923,71,4,12,314,2023-08-24
182,46898590,49,1,4,707,2023-08-24
183,47589637,8,,,89,2023-08-24
184,45777526,300,41,44,"1,726",2023-08-24
185,47426188,43,6,2,532,2023-08-24
186,47173498,52,3,17,444,2023-08-24
187,46163416,81,7,15,851,2023-08-24
188,47715661,248,39,113,"3,976",2023-08-24
189,45988276,68,5,6,522,2023-08-24
190,45238372,482,51,22,"2,462",2023-08-24
191,47588725,125,4,16,"1,002",2023-08-24
192,47569873,61,6,26,250,2023-08-24
193,46640377,190,19,51,"1,460",2023-08-24
194,47193106,4,,2,150,2023-08-24
195,46846708,252,26,18,"1,301",2023-08-24
196,47783791,41,8,23,963,2023-08-24
197,47271217,9,,1,57,2023-08-24
198,47250301,58,2,2,497,2023-08-24
199,47304982,102,6,10,"1,278",2023-08-24
200,45239722,80,5,6,714,2023-08-24
201,46209673,203,14,17,"1,560",2023-08-24
202,46882249,176,15,247,"3,277",2023-08-24
203,47258338,5,2,2,39,2023-08-24
204,46231093,207,16,25,"1,514",2023-08-24
205,47170003,106,5,24,"1,189",2023-08-24
206,47337142,185,18,32,"1,190",2023-08-24
207,47208130,163,36,44,965,2023-08-24
208,47654323,95,3,18,"1,044",2023-08-24
209,46675375,95,4,2,484,2023-08-24
210,47627482,,,,,2023-08-24
211,47496568,117,5,10,901,2023-08-24
212,47208319,205,12,48,"3,687",2023-08-24
213,47342179,162,11,17,945,2023-08-24
214,47726485,165,15,60,957,2023-08-24
215,46315384,185,14,22,"2,295",2023-08-24
216,45362662,98,9,9,607,2023-08-24
217,44863411,304,31,18,"1,790",2023-08-24
218,45647206,190,42,19,"1,328",2023-08-24
219,47709505,45,,4,479,2023-08-24
220,47613250,58,11,25,486,2023-08-24
221,47494396,94,8,12,"1,278",2023-08-24
222,47365840,76,5,59,"1,271",2023-08-24
223,47361784,18,5,6,337,2023-08-24
224,47108281,133,23,68,"1,342",2023-08-24
225,46946884,52,7,16,336,2023-08-24
226,45716290,65,3,8,471,2023-08-24
227,46876888,57,6,14,339,2023-08-24
228,47725999,17,,3,106,2023-08-24
229,47895982,,,,,2023-08-24
230,47199304,23,2,1,190,2023-08-24
231,45749944,111,9,8,"1,360",2023-08-24
232,47301508,13,,1,193,2023-08-24
233,46799551,107,13,18,"1,169",2023-08-24
234,47095669,207,17,34,"1,503",2023-08-24
235,45551677,293,29,25,"1,291",2023-08-24
236,46323154,233,40,26,"1,296",2023-08-24
237,46940149,127,15,20,653,2023-08-24
238,45282925,162,17,9,990,2023-08-24
239,47328748,47,3,5,482,2023-08-24
240,47882920,102,1,5,715,2023-08-24
241,47196295,115,5,7,766,2023-08-24
242,47522161,140,10,31,"1,180",2023-08-24
243,47429617,258,32,34,"1,238",2023-08-24
